date,run ,I_in,Ch1,Ch2,Ch3,Ch4,,,,
1708,27,,0.112779275,0.113857322,0.135228029,0.132670309,,,,
1708,27,,0.135707162,0.148418258,0.115625884,0.147164059,,,,
1708,28,,-0.036819292,-0.096367251,-0.059840416,-0.087736262,,,,
1708,28,,0.008342538,-0.046912683,-0.009350125,-0.027451459,,,,
1708,28,,0.030248746,-0.01263359,0.016579385,-0.004305144,,,,
1708,28,,0.056882862,0.02036312,0.041614045,0.024766909,,,,
1708,28,,0.080945165,0.072440568,0.074660077,0.089463854,,,,
1708,28,,0.102851373,0.122080077,0.13596082,0.124151619,,,,
1708,28,,0.143521245,0.18454342,0.168464306,0.17101498,,,,
2408,29,,-0.058278051,-0.11547413,-0.079981039,-0.080334266,,,,
2408,29,,-0.023237182,-0.07383019,-0.027565249,-0.033429082,,,,
2408,29,,-0.006841138,-0.034441291,-0.006876042,0.003464199,,,,
2408,29,,0.017539142,-0.00898772,0.032696102,0.019546109,,,,
2408,29,,0.056465567,0.048812916,0.068193232,0.070854644,,,,
2408,29,,0.070296184,0.082870265,0.071072793,0.107817732,,,,
2408,29,,0.096334393,0.116927615,0.110391885,0.141238088,,,,
2408,30,,-0.104811558,-0.13232671,-0.116657833,-0.122844233,,,,
2408,30,,-0.073961079,-0.087940037,-0.060034477,-0.084667809,,,,
2408,30,,-0.043760596,-0.04671869,-0.033272015,-0.046090423,,,,
2408,30,,-0.013027831,-0.012425741,-0.003760881,-0.014581048,,,,
2408,30,,0.030549521,0.046797224,0.055575521,0.048394071,,,,
2408,30,,0.079685297,0.08898715,0.083830119,0.072198439,,,,
2408,30,,0.095994081,0.132643035,0.108480903,0.120496525,,,,
2408,31,,-0.103106261,-0.137077302,-0.131794262,-0.126615893,,,,
2408,31,,-0.074449732,-0.091762,-0.092896372,-0.095967904,,,,
2408,31,,-0.04504331,-0.061936732,-0.058106044,-0.056884412,,,,
2408,31,,-0.025916046,-0.027783397,-0.037312125,-0.027251115,,,,
2408,31,,-0.005916188,0.015619435,0.029441326,0.012129059,,,,
2408,31,,0.038516305,0.067722031,0.06020027,0.066788356,,,,
2408,31,,0.084091897,0.101186016,0.086447901,0.105304661,,,,
2408,32,,-0.1057423,-0.136510949,-0.114058205,-0.10628655,,,,
2408,32,,-0.057599939,-0.089789937,-0.074737688,-0.062565,,,,
2408,32,,-0.041134088,-0.05185827,-0.04054945,-0.037128881,,,,
2408,32,,-0.003952852,-0.016212799,-0.014650856,-0.003167517,,,,
2408,32,,0.030767669,0.035924701,0.053114805,0.054877445,,,,
2408,32,,0.057294531,0.085793456,0.083891201,0.10595038,,,,
2408,32,,0.080549165,0.15071446,0.107590857,0.131403952,,,,
3108,33,,-0.104140599,-0.151656084,-0.101463847,-0.109988338,,,,
3108,33,,-0.047155367,-0.092698122,-0.043973435,-0.04724195,,,,
3108,33,,-0.023821199,-0.034568336,-0.007078175,-0.022186941,,,,
3108,33,,-0.009892129,0.010076118,0.020563506,0.013734258,,,,
3108,33,,0.051149016,0.073833811,0.08313068,0.076084973,,,,
3108,33,,0.106086047,0.105945349,0.107817711,0.11588077,,,,
3108,33,,0.120826834,0.123435152,0.118543203,0.138511449,,,,
3108,34,,-0.07793209,-0.114675118,-0.082091662,-0.079702809,,,,
3108,34,,-0.02065009,-0.053714043,-0.02744687,-0.024481395,,,,
3108,34,,0.005216637,-0.020065653,0.021050537,0.014113059,,,,
3108,34,,0.026916548,0.025119946,0.043388998,0.051062433,,,,
3108,34,,0.067513238,0.100230859,0.089159034,0.117027997,,,,
3108,34,,0.114322272,0.141639267,0.142234526,0.174356888,,,,
3108,34,,0.152613686,0.208210913,0.191034974,0.223741772,,,,
3108,35,,-0.159868005,-0.190945707,-0.169258318,-0.152152762,,,,
3108,35,,-0.117807245,-0.136487567,-0.111443381,-0.092016279,,,,
3108,35,,-0.084061449,-0.080305904,-0.068876923,-0.049352415,,,,
3108,35,,-0.038702684,-0.027587567,-0.029806261,-0.022544097,,,,
3108,35,,0.004794544,0.054720573,0.028875492,0.075067621,,,,
3108,35,,0.046711628,0.110523435,0.093758766,0.144052773,,,,
