,,,,change in umol oxygen per ug Chl/L per hour,,,,,,,
  run,date ,temp,umol/L/h,Ch1,Ch2,Ch3,Ch4,,,,
16,2707,23,300,0.041516346,0.075886304,0.074644499,0.080949664,,,,
16,2707,23,440,0.072537436,0.135965632,0.128711087,0.096724593,,,,
16,2707,23,520,0.119942341,0.19585268,0.213870871,0.160088696,,,,
17,308,20,0,-0.080782158,-0.088232692,-0.077472525,-0.069207339,,,,
17,308,20,72,-0.042551521,-0.037097226,-0.027518789,-0.027873051,,,,
17,308,20,120,-0.012853688,-0.003308672,0.010667959,-0.000280736,,,,
17,308,20,180,0.006035819,0.021295813,0.041528841,0.020801183,,,,
17,308,20,300,0.061080081,0.081453477,0.094487637,0.098905884,,,,
17,308,20,440,0.075738499,0.107809218,0.127621142,0.123176159,,,,
17,308,20,520,0.109720895,0.153535727,0.160447174,0.137587262,,,,
18,308,20,0,-0.073659723,-0.081296801,-0.067852848,-0.074269791,,,,
18,308,20,72,-0.026068321,-0.028902415,-0.01308095,-0.022683895,,,,
18,308,20,120,-0.004592035,-0.004932928,0.020487027,0.003654021,,,,
18,308,20,180,0.021643391,0.028735311,0.051214225,0.033864309,,,,
18,308,20,300,0.065899379,0.077583334,0.100236036,0.081239583,,,,
18,308,20,440,0.101185191,0.11742776,0.170573714,0.129728888,,,,
18,308,20,520,0.140956091,0.173962596,0.19307268,0.169330456,,,,
19,308,20,0,-0.085769367,-0.09153481,-0.088919506,-0.059774364,,,,
19,308,20,72,-0.041020843,-0.049182232,-0.03796617,-0.008308442,,,,
19,308,20,120,-0.010153277,-0.007706865,-0.002874199,0.011737429,,,,
19,308,20,180,0.016255938,0.024698063,0.000487945,0.048841339,,,,
19,308,20,300,0.04715024,0.080043114,0.056133785,0.08655351,,,,
19,308,20,440,0.101325559,0.135815953,0.120101434,0.169096509,,,,
19,308,20,520,0.127226775,0.182090564,0.19827966,0.16962456,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,0.030036578,0.040452704,0.054023859,0.046538965,,,,
,,,,0.000609146,0.000743008,0.000742218,0.000687425,,,,
