"WL","Baseline","1003-1","1003-2","1003-3","0104-1","0104-2","0104-3","2004-1","2004-2","2004-3","0405-1","0405-2","0405-3","1105-1","1105-2","1105-3","1805-1","1805-2","1805-3"
"3,730000000000000e+2","-4,470152761847470e-2","2,393327379947770e-1","2,110164756005850e-1","2,217717372417600e-1","1,211718267659760e-1","1,617967774411050e-1","1,128269892699150e-1","1,028564704989560e-1","1,203208001299340e-1","1,045057960807640e-1","7,605246665209931e-2","9,331096954311661e-2","8,603484600326050e-2","7,691886660344750e-2","7,167936765433961e-2","8,292772658974520e-2","7,187338250438950e-2","6,610574367036021e-2","5,816080181743360e-2"
"3,740000000000000e+2","-4,440401085531310e-2","2,412219127553590e-1","2,139214001523490e-1","2,242007108083740e-1","1,218112110634920e-1","1,626471510086050e-1","1,136715865618490e-1","1,043913257622590e-1","1,211805107785610e-1","1,058014302445320e-1","7,774049321593040e-2","9,432486461036869e-2","8,724823638293811e-2","7,741340669213490e-2","7,280032768213080e-2","8,370926881767291e-2","7,269908499762250e-2","6,669013685634690e-2","5,865416219365740e-2"
"3,750000000000000e+2","-4,398654855681780e-2","2,438581358112480e-1","2,156754743650870e-1","2,260851052103360e-1","1,229350254396990e-1","1,634460638612070e-1","1,143038086606560e-1","1,055050933432640e-1","1,223126554616480e-1","1,068297555388240e-1","7,806252697144240e-2","9,470969901809579e-2","8,812882321496331e-2","7,823494786235630e-2","7,349578686717021e-2","8,482099765624310e-2","7,323563677209651e-2","6,735952628860590e-2","5,962306293319280e-2"
"3,760000000000000e+2","-4,327542041567780e-2","2,462724529098820e-1","2,178234135967190e-1","2,291194068708240e-1","1,241637628584440e-1","1,644328418378200e-1","1,153100827493040e-1","1,067558934627950e-1","1,229778798881630e-1","1,078739977910560e-1","7,908259987741520e-2","9,548051325447400e-2","8,947327647729650e-2","7,870483902449070e-2","7,472242229129541e-2","8,484343037047630e-2","7,359812968161621e-2","6,717289493674750e-2","5,960767343722300e-2"
"3,770000000000000e+2","-4,305106840264520e-2","2,485632796057760e-1","2,199802117610610e-1","2,309259137425510e-1","1,249534451432690e-1","1,655267913556520e-1","1,162566097042880e-1","1,074553656810440e-1","1,240999248282160e-1","1,094355914136190e-1","8,068177467848251e-2","9,673305495355259e-2","9,041526972403920e-2","7,994653171028350e-2","7,563782182156200e-2","8,608088126591749e-2","7,503596509450970e-2","6,855983863496190e-2","6,106198899911540e-2"
"3,780000000000000e+2","-4,264953828930100e-2","2,505031573866980e-1","2,221625205634190e-1","2,329893433701300e-1","1,256845347521280e-1","1,665087823552570e-1","1,173573566317720e-1","1,086873768250890e-1","1,249293637822420e-1","1,102267006459410e-1","8,121506088384270e-2","9,738239256539299e-2","9,163134963871960e-2","8,065249131400400e-2","7,631966424255781e-2","8,698166917856120e-2","7,534087482739170e-2","6,892732286261170e-2","6,191491253044390e-2"
"3,790000000000000e+2","-4,161559631317000e-2","2,516464841177130e-1","2,230516765446560e-1","2,345763227628620e-1","1,258243118012190e-1","1,663795290379900e-1","1,173778146158440e-1","1,090165112381730e-1","1,251636717720230e-1","1,103163394748130e-1","8,102664985368050e-2","9,720584730433920e-2","9,118071459166021e-2","8,091528324085221e-2","7,615892667005050e-2","8,693858837273870e-2","7,496574631407070e-2","6,952306482516710e-2","6,166079697979680e-2"
"3,800000000000000e+2","-4,122900316917550e-2","2,534115837747600e-1","2,244983094221340e-1","2,364338103675350e-1","1,269464797937080e-1","1,672168924516960e-1","1,181855354204240e-1","1,099844088551340e-1","1,259281137030010e-1","1,109219000342120e-1","8,221051429769320e-2","9,770143571985530e-2","9,244966020272021e-2","8,144192732251259e-2","7,734832800469750e-2","8,740912817059610e-2","7,558026158768720e-2","6,996876056675410e-2","6,211925648345100e-2"
"3,810000000000000e+2","-4,079901374084370e-2","2,550860512589820e-1","2,259680214511530e-1","2,379039859400190e-1","1,275521200689390e-1","1,680998243693040e-1","1,195900499065630e-1","1,111553468728390e-1","1,265769207292940e-1","1,118652291106870e-1","8,293867012683960e-2","9,852158107241491e-2","9,261071939721120e-2","8,203814704909029e-2","7,785040606853730e-2","8,823124475522320e-2","7,632621473957570e-2","7,054879635238590e-2","6,286405036610041e-2"
"3,820000000000000e+2","-4,045731171285610e-2","2,567370813312000e-1","2,279689932699850e-1","2,393076362361170e-1","1,288279782921480e-1","1,691010401123780e-1","1,203965051457670e-1","1,116210247512260e-1","1,273960996025000e-1","1,127477982911560e-1","8,327895701104141e-2","9,903766375977941e-2","9,388343248927850e-2","8,238913245252520e-2","7,856340035483709e-2","8,863009899746501e-2","7,687764000705739e-2","7,115265833054010e-2","6,312733286626010e-2"
"3,830000000000000e+2","-3,997236380133660e-2","2,585309604410980e-1","2,299337660237260e-1","2,409747479390070e-1","1,293631603753900e-1","1,692840138875310e-1","1,217181755837970e-1","1,122918667250280e-1","1,283077527147280e-1","1,131844357783910e-1","8,418362859120990e-2","9,936602862422640e-2","9,464734759530310e-2","8,310671386495461e-2","7,911696310928600e-2","8,922975117888000e-2","7,749843794236221e-2","7,137686167632400e-2","6,373198029558461e-2"
"3,840000000000000e+2","-3,951465200658790e-2","2,601560256787400e-1","2,315180394998950e-1","2,426858980261710e-1","1,303462333717290e-1","1,699256470035170e-1","1,223481367526370e-1","1,129005327991580e-1","1,289503590478890e-1","1,143580759053320e-1","8,471701884199770e-2","1,001032036580890e-1","9,518643240365400e-2","8,393014343503461e-2","7,988324212429459e-2","8,983626703404880e-2","7,816800673458021e-2","7,200811333851380e-2","6,439646550764461e-2"
"3,850000000000000e+2","-3,906607981459270e-2","2,620857985974680e-1","2,332727032045830e-1","2,439621123128140e-1","1,311256715827830e-1","1,710952035638130e-1","1,232869923082040e-1","1,138848168751970e-1","1,302203475865050e-1","1,148211191411880e-1","8,542497719937229e-2","1,007519814153600e-1","9,601604245189200e-2","8,454930270713830e-2","8,103959075329120e-2","9,057498235906709e-2","7,887145085620730e-2","7,288933702148530e-2","6,528063985009970e-2"
"3,860000000000000e+2","-3,858259910399600e-2","2,638574037129860e-1","2,349614884315850e-1","2,453925598080250e-1","1,320181022216830e-1","1,716378841493390e-1","1,241764286535440e-1","1,144301934771850e-1","1,303620847608810e-1","1,159122658899010e-1","8,591056901561830e-2","1,008927701383320e-1","9,724825853888299e-2","8,488812826488570e-2","8,140637391289320e-2","9,153796264193230e-2","7,961935870861741e-2","7,329289719419290e-2","6,616875032030950e-2"
"3,870000000000000e+2","-3,813414772915790e-2","2,659589129437450e-1","2,376702815227010e-1","2,483028068559660e-1","1,335880480073990e-1","1,726233372129760e-1","1,256467379119710e-1","1,160069112324350e-1","1,325438689217990e-1","1,169863957259640e-1","8,749481136356350e-2","1,023374390214380e-1","9,841964259895730e-2","8,561764458054310e-2","8,272876724877600e-2","9,173991477758750e-2","8,061423954219139e-2","7,371150540321061e-2","6,697518265599210e-2"
"3,880000000000000e+2","-3,773990001382770e-2","2,680346439472100e-1","2,393405446661940e-1","2,506555869306930e-1","1,349121138363830e-1","1,732790313227360e-1","1,270166950596470e-1","1,165290911439260e-1","1,333804133149260e-1","1,179413633122840e-1","8,804480544071490e-2","1,029209713941410e-1","9,899943750480010e-2","8,718899063589240e-2","8,354922737657870e-2","9,312484829519781e-2","8,127608700323661e-2","7,529007513921499e-2","6,792543699974500e-2"
"3,890000000000000e+2","-3,724370087581580e-2","2,699394575440210e-1","2,416190144263470e-1","2,523329237656860e-1","1,363433989893050e-1","1,739188094865440e-1","1,280980602687250e-1","1,174579774764010e-1","1,343336775313280e-1","1,184384683713310e-1","8,902444415694010e-2","1,039204348374970e-1","9,970083235167331e-2","8,818034576148990e-2","8,471090570283531e-2","9,365176970307989e-2","8,222285217546440e-2","7,618422396656330e-2","6,903360672071690e-2"
"3,900000000000000e+2","-3,660069449853800e-2","2,719708437161150e-1","2,435034834934890e-1","2,536410449528720e-1","1,370944422549760e-1","1,751252043401410e-1","1,290006722974730e-1","1,178534436269950e-1","1,348641007266560e-1","1,194330457878080e-1","8,940549556450939e-2","1,041166958195440e-1","1,009115785563900e-1","8,878230812573749e-2","8,583499163233461e-2","9,424470511833920e-2","8,292445514304950e-2","7,673770328032880e-2","6,958630446364350e-2"
"3,910000000000000e+2","-3,563294984713980e-2","2,738586173509170e-1","2,452059799217910e-1","2,553538239900330e-1","1,377598878181170e-1","1,758977767780840e-1","1,299693581759730e-1","1,184954706066420e-1","1,358375087287220e-1","1,199691447871550e-1","9,052427843239411e-2","1,044842400764380e-1","1,013947012913290e-1","8,904623139788310e-2","8,625866739834430e-2","9,483021840737090e-2","8,282195634889720e-2","7,692800287772101e-2","7,000429408891280e-2"
