"WL","Baseline","1506-1","1506-2","1506-3","2306-1","2306-2","2306-3","2906-1","2906-2","2906-3","0607-1","0607-2","0607-3","1307-1","1307-2","1307-3","2007-1","2007-2","2007-3","2707-1","2707-2","2707-3","0308-1","0308-2","0308-3"
"3,700000000000000e+2","-3,935634240700350e-2","1,721162358980310e-1","1,563630133131820e-1","1,528151756738010e-1","1,611315598353170e-1","1,669595909523180e-1","1,756950606502740e-1","1,892670536218460e-1","1,723486501473360e-1","1,699583388993570e-1","1,833734577998260e-1","1,525586589109000e-1","1,875359166389150e-1","1,681877082838890e-1","1,656607231465640e-1","1,750937312900180e-1","1,734874310664090e-1","1,837493854031090e-1","1,789098716082440e-1","2,495715552611610e-1","2,399916275810170e-1","2,405106691236310e-1","1,649816960201570e-1","1,669578724246760e-1","1,639847982918530e-1"
"3,710000000000000e+2","-3,924008957582590e-2","1,743126953003440e-1","1,589940785003140e-1","1,552105202038000e-1","1,630577579327040e-1","1,685395612709590e-1","1,787187922311210e-1","1,921597699530270e-1","1,766121736247660e-1","1,726648562943200e-1","1,862244167988400e-1","1,555290656199300e-1","1,908095424397560e-1","1,713934123746390e-1","1,693266288969330e-1","1,782089313452060e-1","1,771045739339960e-1","1,873122111629160e-1","1,825473578994310e-1","2,544860045107330e-1","2,450795550745170e-1","2,451789864792900e-1","1,681880171410600e-1","1,702536654636300e-1","1,669236369240700e-1"
"3,720000000000000e+2","-3,908267388650150e-2","1,767006793506990e-1","1,614655290486110e-1","1,573715851612710e-1","1,663401754867270e-1","1,713852954861210e-1","1,813194912248510e-1","1,953352300615560e-1","1,793468348543100e-1","1,754858096581760e-1","1,888184756839400e-1","1,581960233694550e-1","1,939887523832530e-1","1,744118432810780e-1","1,727951026648190e-1","1,810037324044840e-1","1,798860756263460e-1","1,907731547791730e-1","1,856227880227340e-1","2,589598499588760e-1","2,498543456185920e-1","2,498515888538840e-1","1,715359234805300e-1","1,729559762031970e-1","1,700391759056530e-1"
"3,730000000000000e+2","-3,887294199809280e-2","1,788597420923930e-1","1,638898500705630e-1","1,596975749100120e-1","1,659049573299680e-1","1,720202248263120e-1","1,840798315623550e-1","1,979176661294180e-1","1,817936000190360e-1","1,778968170132740e-1","1,916114928513210e-1","1,591889519309000e-1","1,965873918302540e-1","1,772077302091440e-1","1,754272724856940e-1","1,840265331290200e-1","1,813574761180800e-1","1,940060888702930e-1","1,888365780111530e-1","2,637245252353630e-1","2,541131621315800e-1","2,542099651506640e-1","1,737183710507010e-1","1,771507706279020e-1","1,731304083288660e-1"
"3,740000000000000e+2","-3,863586155592430e-2","1,807075604061190e-1","1,658643847297270e-1","1,616194747634030e-1","1,734462344364780e-1","1,785548254860870e-1","1,868497875393380e-1","2,000069319164610e-1","1,843889169859060e-1","1,802744212599140e-1","1,943622629000020e-1","1,612731220083560e-1","1,994999722845410e-1","1,798886645055550e-1","1,779077397712480e-1","1,870946483248580e-1","1,838939076432600e-1","1,967290159579390e-1","1,920087848188240e-1","2,680246762259710e-1","2,583746849206830e-1","2,566110024590550e-1","1,762754972675000e-1","1,803237268867670e-1","1,753883201611680e-1"
"3,750000000000000e+2","-3,830800624126720e-2","1,824459610624040e-1","1,678151601337380e-1","1,636331305293760e-1","1,751912142151640e-1","1,806746981650920e-1","1,889652044362330e-1","2,022111910149450e-1","1,862750151925400e-1","1,827242220195250e-1","1,966960874490010e-1","1,619293635932980e-1","1,989418412710460e-1","1,807625562150440e-1","1,806926091062290e-1","1,893530524722090e-1","1,865961708071570e-1","2,002532220149090e-1","1,943141714134870e-1","2,728537272636100e-1","2,617195933593940e-1","2,605276013423910e-1","1,785812951179900e-1","1,823982797072380e-1","1,786314304126700e-1"
"3,760000000000000e+2","-3,740124955694890e-2","1,836971321367150e-1","1,696091794885440e-1","1,648111520217730e-1","1,766474302859030e-1","1,826563765980430e-1","1,897182044577140e-1","2,044023496892060e-1","1,879105240456750e-1","1,842998870910170e-1","1,983641561162970e-1","1,643481987991900e-1","2,007058980834080e-1","1,807903092386150e-1","1,827185397142570e-1","1,913075821648520e-1","1,886477433799680e-1","2,019969019608390e-1","1,956033335841600e-1","2,758685049401520e-1","2,646088596700480e-1","2,621674656668650e-1","1,808037823840670e-1","1,840465713306120e-1","1,792257186206770e-1"
"3,770000000000000e+2","-3,716250008179370e-2","1,854740346796280e-1","1,709668420057350e-1","1,666645529057840e-1","1,786378847212690e-1","1,843255492141440e-1","1,894305311269500e-1","2,062155790819120e-1","1,896722838236730e-1","1,862457569908940e-1","1,991868899727160e-1","1,677367750007620e-1","2,006405178594180e-1","1,831470978123610e-1","1,845394357617230e-1","1,923248854299970e-1","1,917402125838300e-1","2,043428730304770e-1","1,954482031443850e-1","2,793888181064340e-1","2,677643431258330e-1","2,650407146260410e-1","1,843055805906520e-1","1,864784565906800e-1","1,819841373494860e-1"
"3,780000000000000e+2","-3,677080580873680e-2","1,870073277072470e-1","1,727887907211300e-1","1,681624745560350e-1","1,803074867665980e-1","1,859612261717360e-1","1,932719399656670e-1","2,078673828313270e-1","1,914854305559350e-1","1,873364766018000e-1","1,976355724606800e-1","1,703558374664530e-1","2,055113771923510e-1","1,844749481243350e-1","1,868168034671110e-1","1,947289390819240e-1","1,950322305992200e-1","2,060875045840360e-1","1,953949492466940e-1","2,812438365138920e-1","2,705646175003920e-1","2,673601627752560e-1","1,856724487925160e-1","1,882443192780090e-1","1,819699528485350e-1"
"3,790000000000000e+2","-3,672783091033370e-2","1,884187713165160e-1","1,744415090216150e-1","1,697085749543480e-1","1,820005931361580e-1","1,878383003673360e-1","1,963303360007290e-1","2,093799036031570e-1","1,929776004460040e-1","1,880296925964490e-1","2,008742698739680e-1","1,720643795266420e-1","2,104647795500220e-1","1,867295331697060e-1","1,889705756178960e-1","1,970443634671300e-1","1,968088601883020e-1","2,081395830844770e-1","1,974265631202940e-1","2,843296198289520e-1","2,732844033539750e-1","2,728822520127920e-1","1,876060419251770e-1","1,902609601343100e-1","1,839601659805680e-1"
